name,z,state,R_500,M_500
006,0.54,rel,1.08482,656725000000000.0
007,0.54,rel,0.99853,512146000000000.0
024,0.54,rel,1.16585,815166000000000.0
026,0.54,rel,1.23144,960632000000000.0
032,0.54,rel,0.85059,316578000000000.0
047,0.54,rel,1.10606,696067000000000.0
156,0.54,rel,0.7931,256624000000000.0
174,0.54,rel,1.03877,576602000000000.0
240,0.54,rel,0.93685,422986000000000.0
005,0.54,dist,1.0273,557710000000000.0
031,0.54,dist,1.48265,1676620000000000.0
085,0.54,dist,1.03653,572873000000000.0
096,0.54,dist,1.24241,986525000000000.0
157,0.54,dist,1.06918,628738000000000.0
181,0.54,dist,0.85574,322356000000000.0
187,0.54,dist,0.85007,315998000000000.0
223,0.54,dist,1.04753,591302000000000.0
256,0.54,dist,0.75811,224140000000000.0
012,0.82,rel,0.78079,339369000000000.0
024,0.82,rel,0.9917,695365000000000.0
026,0.82,rel,0.91395,544305000000000.0
034,0.82,rel,0.8678,465944000000000.0
047,0.82,rel,0.94906,609469000000000.0
052,0.82,rel,0.7776,335227000000000.0
067,0.82,rel,0.97791,666755000000000.0
082,0.82,rel,0.82599,401786000000000.0
040,0.82,dist,0.9656,641880000000000.0
084,0.82,dist,0.93505,582870000000000.0
099,0.82,dist,0.95489,620763000000000.0
143,0.82,dist,0.49543,86699700000000.0
154,0.82,dist,0.62994,178226000000000.0
174,0.82,dist,0.73375,281652000000000.0
